program,sig_gene
thermo,CREB3L2
thermo,CREB3L3
thermo,CREB3L4
thermo,CREB5
thermo,DPF1
thermo,DPF3
thermo,FGF21
thermo,FGFR1
thermo,FRS2
thermo,GCG
thermo,GNAS
thermo,GRB2
thermo,HRAS
thermo,KDM1A
thermo,KDM3A
thermo,KDM3B
thermo,KLB
thermo,KRAS
thermo,LIPE
thermo,MAP2K3
thermo,MAP3K5
thermo,MAPK11
thermo,MAPK12
thermo,MAPK13
thermo,MAPK14
thermo,MGLL
thermo,MLST8
thermo,MTOR
thermo,NPR1
thermo,NRAS
thermo,PLIN1
thermo,PNPLA2
thermo,PPARG
thermo,PRKAA1
thermo,PRKAA2
thermo,PRKAB1
thermo,PRKAB2
thermo,PRKACA
thermo,PRKACB
thermo,PRKACG
thermo,PRKAG1
thermo,PRKAG2
thermo,PRKAG3
thermo,PRKG1
thermo,PRKG2
thermo,RHEB
thermo,RPS6
thermo,RPS6KA1
thermo,RPS6KA2
thermo,RPS6KA3
thermo,RPS6KA6
thermo,RPS6KB1
thermo,RPS6KB2
thermo,RPTOR
thermo,SIRT6
thermo,SLC25A20
thermo,SLC25A29
thermo,SMARCA2
thermo,SMARCA4
thermo,SMARCB1
thermo,SMARCC1
thermo,SMARCC2
thermo,SMARCD1
thermo,SMARCD2
thermo,SMARCD3
thermo,SMARCE1
thermo,SOS1
thermo,SOS2
thermo,TSC1
thermo,TSC2
thermo,ZNF516
thermo,ABHD6
thermo,ACADL
thermo,ACHE
thermo,ACOT13
thermo,ACTN3
thermo,ACVR2B
thermo,ADAM17
thermo,ADAMTS5
thermo,ADCYAP1
thermo,ADIPOQ
thermo,ADIPOR1
thermo,ADIPOR2
thermo,ADRB2
thermo,ALDH1A1
thermo,ALMS1
thermo,ALPL
thermo,APC
thermo,APPL2
thermo,ARNTL
thermo,ARRDC3
thermo,ATF4
thermo,BSCL2
thermo,CAV1
thermo,CCR2
thermo,CD36
thermo,CEBPB
thermo,CIDEA
thermo,CMKLR1
thermo,CNOT3
thermo,CXCR4
thermo,DBH
thermo,DDIT3
thermo,DECR1
thermo,DHRS7B
thermo,DIO2
thermo,DOCK7
thermo,DYNC1H1
thermo,EHMT1
thermo,ELOVL3
thermo,ELOVL6
thermo,EPAS1
thermo,ESRRG
thermo,FABP4
thermo,FABP5
thermo,FFAR4
thermo,FH
thermo,FLCN
thermo,FOXC2
thermo,G0S2
thermo,GADD45G
thermo,GATM
thermo,GHRL
thermo,GJA1
thermo,GPR3
thermo,GRB10
thermo,HADH
thermo,HCRT
thermo,HDAC3
thermo,HNRNPU
thermo,HOXC10
thermo,HSF1
thermo,ID1
thermo,IGF1R
thermo,IL13
thermo,IL15
thermo,IL18
thermo,IL18R1
thermo,IL4
thermo,IL4R
thermo,IP6K1
thermo,IRF4
thermo,JAK2
thermo,KDM6B
thermo,KSR2
thermo,LAMA4
thermo,LCN2
thermo,LEP
thermo,LEPR
thermo,LGR4
thermo,LNPEP
thermo,LPIN1
thermo,MAP2K6
thermo,MC4R
thermo,MFAP2
thermo,MFN2
thermo,NOTCH1
thermo,NOVA1
thermo,NOVA2
thermo,NPR3
thermo,NR1D1
thermo,NR1H2
thermo,NR1H3
thermo,NRDC
thermo,OGT
thermo,OMA1
thermo,OXT
thermo,OXTR
thermo,PCTP
thermo,PDGFC
thermo,PEMT
thermo,PER2
thermo,PGAM5
thermo,PHOX2B
thermo,PLAC8
thermo,PLCL1
thermo,PM20D1
thermo,PPARGC1B
thermo,PRLR
thermo,PTH2R
thermo,RB1
thermo,RBPJ
thermo,SCD
thermo,SCT
thermo,SCTR
thermo,SLC25A4
thermo,SLC25A44
thermo,SLC25A5
thermo,SLN
thermo,SORL1
thermo,STAT6
thermo,STK11
thermo,SYK
thermo,TFE3
thermo,THADA
thermo,THRA
thermo,TLE3
thermo,TLR4
thermo,TRPM8
thermo,TRPV1
thermo,TRPV2
thermo,TRPV4
thermo,TSHR
thermo,UCP2
thermo,UCP3
thermo,VEGFA
thermo,WNT10B
thermo,YBX2
thermo,ZBTB7B
thermo,ZNF423
thermo,ADIG
thermo,ALDH6A1
thermo,ARL4A
thermo,BMP7
thermo,BNIP3
thermo,CEBPA
thermo,DUSP10
thermo,ERO1A
thermo,FABP3
thermo,FNDC5
thermo,FTO
thermo,INS
thermo,LAMB3
